Package,Version
Andromeda,0.6.3
arrow,13.0.0
askpass,1.1
assertthat,0.2.1
aws.s3,0.3.21
aws.signature,0.6.0
backports,1.4.1
base64enc,0.1-3
bit,4.0.5
bit64,4.0.5
blob,1.2.4
brio,1.1.3
broom,1.0.4
bslib,0.5.0
cachem,1.0.8
callr,3.7.3
Capr,2.0.7
cellranger,1.1.0
checkmate,2.2.0
CirceR,1.3.1
cli,3.6.1
clipr,0.8.0
clock,0.7.0
CohortDiagnostics,3.2.2
CohortGenerator,0.8.0
CohortIncidence,3.1.5
colorspace,2.1-0
config,0.3.1
conflicted,1.2.0
cpp11,0.4.5
crayon,1.5.2
credentials,1.3.2
curl,5.0.0
data.table,1.14.8
DatabaseConnector,6.2.3
DBI,1.1.3
dbplyr,2.3.3
desc,1.4.2
diffobj,0.3.5
digest,0.6.32
dplyr,1.1.2
dtplyr,1.3.1
ellipsis,0.3.2
Eunomia,1.0.2
evaluate,0.21
fansi,1.0.4
farver,2.1.1
fastmap,1.1.1
FeatureExtraction,3.3.0
filelock,1.0.2
fontawesome,0.5.1
forcats,1.0.0
fs,1.6.3
gargle,1.3.0
generics,0.1.3
gert,1.9.2
ggplot2,3.4.2
ggsurvfit,0.3.1
gh,1.4.0
gitcreds,0.1.2
glue,1.6.2
googledrive,2.1.0
googlesheets4,1.1.0
gtable,0.3.3
haven,2.5.2
here,1.0.1
highr,0.1
hms,1.1.3
htmltools,0.5.5
htmlwidgets,1.6.2
httr,1.4.6
httr2,0.2.3
ids,1.0.1
ini,0.3.1
isoband,0.2.7
jquerylib,0.1.4
jsonlite,1.8.7
keyring,1.3.1
knitr,1.43
labeling,0.4.2
later,1.3.1
lattice,0.20-45
lifecycle,1.0.3
lubridate,1.9.2
magrittr,2.0.3
MASS,7.3-58.3
Matrix,1.5-3
memoise,2.0.1
mgcv,1.8-42
mime,0.12
modelr,0.1.11
munsell,0.5.0
nlme,3.1-162
openssl,2.1.0
ParallelLogger,3.2.0
patchwork,1.1.2
pillar,1.9.0
pkgconfig,2.0.3
pkgload,1.3.2.1
plogr,0.2.0
pool,1.0.1
praise,1.0.0
prettyunits,1.1.1
processx,3.8.2
progress,1.2.2
ps,1.7.5
purrr,1.0.1
R6,2.5.1
ragg,1.2.5
rappdirs,0.3.3
RColorBrewer,1.1-3
Rcpp,1.0.10
reactable,0.4.4
reactR,0.4.4
readr,2.1.4
readxl,1.4.2
rematch,1.0.1
rematch2,2.1.2
remotes,2.4.2
renv,0.17.3
reprex,2.0.2
ResultModelManager,0.4.0
rJava,1.0-6
RJSONIO,1.3-1.8
rlang,1.1.1
rmarkdown,2.23
rprojroot,2.0.3
RSQLite,2.3.1
rstudioapi,0.15.0
rvest,1.0.3
sass,0.4.6
scales,1.2.1
selectr,0.4-2
sessioninfo,1.2.2
snakecase,0.11.0
snow,0.4-4
sodium,1.2.1
SqlRender,1.15.1
stringi,1.7.12
stringr,1.5.0
survival,3.5-5
sys,3.4.2
systemfonts,1.0.4
testthat,3.1.10
textshaping,0.3.6
tibble,3.2.1
tidyr,1.3.0
tidyselect,1.2.0
tidyverse,2.0.0
timechange,0.2.0
tinytex,0.45
triebeard,0.4.1
tzdb,0.4.0
Ulysses,0.0.2
urltools,1.7.3
usethis,2.2.2
utf8,1.2.3
uuid,1.1-0
vctrs,0.6.3
viridisLite,0.4.2
vroom,1.6.3
waldo,0.5.1
whisker,0.4.1
withr,2.5.0
xfun,0.39
xml2,1.3.4
yaml,2.3.7
zip,2.3.0
base,4.1.3
boot,1.3-28.1
class,7.3-21
cluster,2.1.4
codetools,0.2-19
compiler,4.1.3
datasets,4.1.3
foreign,0.8-84
graphics,4.1.3
grDevices,4.1.3
grid,4.1.3
KernSmooth,2.23-20
lattice,0.20-45
MASS,7.3-58.3
Matrix,1.5-3
methods,4.1.3
mgcv,1.8-42
nlme,3.1-162
nnet,7.3-18
parallel,4.1.3
rpart,4.1.19
spatial,7.3-16
splines,4.1.3
stats,4.1.3
stats4,4.1.3
survival,3.5-5
tcltk,4.1.3
tools,4.1.3
utils,4.1.3
